       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
14 Sep 2022 16:45:00.000            -10587.490446             20301.130200            -13469.357873
14 Sep 2022 16:46:00.000            -10670.396181             20357.015692            -13313.180131
14 Sep 2022 16:47:00.000            -10752.202011             20412.452847            -13155.982934
14 Sep 2022 16:48:00.000            -10832.906959             20467.428358            -12997.778002
14 Sep 2022 16:49:00.000            -10912.510226             20521.928936            -12838.577139
14 Sep 2022 16:50:00.000            -10991.011187             20575.941308            -12678.392235
14 Sep 2022 16:51:00.000            -11068.409392             20629.452221            -12517.235260
14 Sep 2022 16:52:00.000            -11144.704568             20682.448446            -12355.118267
14 Sep 2022 16:53:00.000            -11219.896618             20734.916781            -12192.053392
14 Sep 2022 16:54:00.000            -11293.985618             20786.844049            -12028.052851
14 Sep 2022 16:55:00.000            -11366.971820             20838.217104            -11863.128937
14 Sep 2022 16:56:00.000            -11438.855652             20889.022833            -11697.294026
14 Sep 2022 16:57:00.000            -11509.637714             20939.248157            -11530.560569
14 Sep 2022 16:58:00.000            -11579.318784             20988.880035            -11362.941096
14 Sep 2022 16:59:00.000            -11647.899812             21037.905465            -11194.448212
14 Sep 2022 17:00:00.000            -11715.381922             21086.311487            -11025.094597
14 Sep 2022 17:01:00.000            -11781.766411             21134.085184            -10854.893006
14 Sep 2022 17:02:00.000            -11847.054751             21181.213688            -10683.856270
14 Sep 2022 17:03:00.000            -11911.248586             21227.684178            -10511.997288
14 Sep 2022 17:04:00.000            -11974.349730             21273.483885            -10339.329034
14 Sep 2022 17:05:00.000            -12036.360173             21318.600095            -10165.864552
14 Sep 2022 17:06:00.000            -12097.282072             21363.020146             -9991.616955
14 Sep 2022 17:07:00.000            -12157.117759             21406.731438             -9816.599428
14 Sep 2022 17:08:00.000            -12215.869733             21449.721431             -9640.825219
14 Sep 2022 17:09:00.000            -12273.540665             21491.977646             -9464.307646
14 Sep 2022 17:10:00.000            -12330.133394             21533.487670             -9287.060094
14 Sep 2022 17:11:00.000            -12385.650927             21574.239159             -9109.096011
14 Sep 2022 17:12:00.000            -12440.096440             21614.219838             -8930.428910
14 Sep 2022 17:13:00.000            -12493.473276             21653.417502             -8751.072366
14 Sep 2022 17:14:00.000            -12545.784943             21691.820023             -8571.040019
14 Sep 2022 17:15:00.000            -12597.035116             21729.415348             -8390.345566
14 Sep 2022 17:16:00.000            -12647.227635             21766.191504             -8209.002766
14 Sep 2022 17:17:00.000            -12696.366502             21802.136597             -8027.025439
14 Sep 2022 17:18:00.000            -12744.455886             21837.238820             -7844.427460
14 Sep 2022 17:19:00.000            -12791.500113             21871.486447             -7661.222762
14 Sep 2022 17:20:00.000            -12837.503675             21904.867843             -7477.425335
14 Sep 2022 17:21:00.000            -12882.471223             21937.371461             -7293.049221
14 Sep 2022 17:22:00.000            -12926.407566             21968.985848             -7108.108520
14 Sep 2022 17:23:00.000            -12969.317674             21999.699644             -6922.617381
14 Sep 2022 17:24:00.000            -13011.206672             22029.501584             -6736.590007
14 Sep 2022 17:25:00.000            -13052.079844             22058.380504             -6550.040651
14 Sep 2022 17:26:00.000            -13091.942627             22086.325340             -6362.983614
14 Sep 2022 17:27:00.000            -13130.800613             22113.325130             -6175.433248
14 Sep 2022 17:28:00.000            -13168.659549             22139.369018             -5987.403950
14 Sep 2022 17:29:00.000            -13205.525331             22164.446254             -5798.910166
14 Sep 2022 17:30:00.000            -13241.404007             22188.546198             -5609.966383
14 Sep 2022 17:31:00.000            -13276.301776             22211.658319             -5420.587136
14 Sep 2022 17:32:00.000            -13310.224982             22233.772201             -5230.787002
14 Sep 2022 17:33:00.000            -13343.180120             22254.877544             -5040.580597
14 Sep 2022 17:34:00.000            -13375.173828             22274.964163             -4849.982580
14 Sep 2022 17:35:00.000            -13406.212889             22294.021992             -4659.007650
14 Sep 2022 17:36:00.000            -13436.304229             22312.041088             -4467.670543
14 Sep 2022 17:37:00.000            -13465.454917             22329.011631             -4275.986031
14 Sep 2022 17:38:00.000            -13493.672160             22344.923923             -4083.968926
14 Sep 2022 17:39:00.000            -13520.963306             22359.768395             -3891.634070
14 Sep 2022 17:40:00.000            -13547.335839             22373.535608             -3698.996342
14 Sep 2022 17:41:00.000            -13572.797380             22386.216251             -3506.070652
