    Time (UTCG)          Svn41_26605 - x (km)    Svn41_26605 - y (km)    Svn41_26605 - z (km)
19 Nov 2022 10:03:00.000           -17368.580673            15999.767942           -11558.599757
19 Nov 2022 10:04:00.000           -17339.888511            15909.948195           -11719.764845
19 Nov 2022 10:05:00.000           -17310.950142            15818.924389           -11880.004204
19 Nov 2022 10:06:00.000           -17281.777499            15726.699575           -12039.304957
19 Nov 2022 10:07:00.000           -17252.382507            15633.276985           -12197.654298
19 Nov 2022 10:08:00.000           -17222.777079            15538.660036           -12355.039492
19 Nov 2022 10:09:00.000           -17192.973113            15442.852326           -12511.447876
19 Nov 2022 10:10:00.000           -17162.982495            15345.857635           -12666.866864
19 Nov 2022 10:11:00.000           -17132.817088            15247.679923           -12821.283941
19 Nov 2022 10:12:00.000           -17102.488736            15148.323333           -12974.686672
19 Nov 2022 10:13:00.000           -17072.009263            15047.792189           -13127.062697
19 Nov 2022 10:14:00.000           -17041.390464            14946.090992           -13278.399735
19 Nov 2022 10:15:00.000           -17010.644108            14843.224425           -13428.685587
       Time (UTCG)          Svn61_28474 - x (km)    Svn61_28474 - y (km)    Svn61_28474 - z (km)
19 Nov 2022 20:26:00.000            21853.505648            11630.344830             9971.252627
19 Nov 2022 20:27:00.000            21780.616485            11629.543862            10142.195520
19 Nov 2022 20:28:00.000            21706.493840            11628.731277            10312.373038
19 Nov 2022 20:29:00.000            21631.142659            11627.918335            10481.772733
19 Nov 2022 20:30:00.000            21554.568050            11627.116250            10650.382224
19 Nov 2022 20:31:00.000            21476.775277            11626.336192            10818.189204
